cell_type,conf_score,proteins_used,top_10_avg_prot_tested,top_result,top_enrich,top_pval,top_adj_pval,top_tiss_result,top_tiss_enrich,top_tiss_pval,top_tiss_adj_pval
SMOOTH MUSCLE vascular smooth muscle cells,10.5,6,4,BREAST - myoepithelial cells,87.5,0.0009995,0.071964018,SMOOTH MUSCLE - smooth muscle cells,62.5,0.00049975,0.036981509
KIDNEY kidney progenitor cells,9.625,7,4,EPIDIDYMIS - glandular cells,68.75,0.00149925,0.110944528,KIDNEY - cells in tubules,37.5,0.20089955,1
BRAIN noradrenergic neurons,9.6,8,2.166666667,ADRENAL GLAND - glandular cells,60,0.001999,0.16191904,CAUDATE - neuronal projections,20,1,1
SKIN trichocytes,9.6,6,4.333333333,HAIR - cells in cortex/medulla,80,0.033483258,1,SKIN - epidermal cells,5,1,1
ORAL CAVITY salivary mucous cells,9.31,7,6,BREAST - myoepithelial cells,66.5,0.00049975,0.036981509,tissue not found,NA,NA,NA
BRAIN glutaminergic neurons,9.3,10,6.833333333,CEREBRAL CORTEX - neuropil,46.5,0.016491754,1,CEREBRAL CORTEX - neuropil,46.5,0.016491754,1
KIDNEY juxtaglomerular cells,9,6,3.5,SMOOTH MUSCLE - smooth muscle cells,75,0.00149925,0.112443778,KIDNEY - cells in glomeruli,6.25,0.075462269,1
BLOOD reticulocytes,9,8,4,BONE MARROW - hematopoietic cells,56.25,1,1,BONE MARROW - hematopoietic cells,56.25,1,1
EYE retinal progenitor cells,8.84,13,8,RECTUM - glandular cells,34,1,1,RETINA - cells in photoreceptor layer ,31,0.539230385,1
BRAIN meningeal cells,8.1,18,10,BRONCHUS - respiratory epithelial cells,22.5,1,1,CEREBRAL CORTEX - endothelial cells,22.5,1,1
SMOOTH MUSCLE airway smooth muscle cells,8,4,0,BREAST - myoepithelial cells,100,0.012993503,0.935532234,SMOOTH MUSCLE - smooth muscle cells,100,0.043978011,1
BRAIN radial glia cells,7.84,14,8,CAUDATE - glial cells,28,0.00049975,0.036981509,CAUDATE - glial cells,28,0.00049975,0.036981509
LUNG ionocytes,6.875,11,4,BRONCHUS - respiratory epithelial cells,31.25,0.07946027,1,LUNG - macrophages,0,1,1
REPRODUCTIVE decidual cells,6.75,9,3.5,BONE MARROW - hematopoietic cells,37.5,0.043978011,1,OVARY - follicle cells,0,1,1
HEART MUSCLE his bundle cells,6,3,0,PLACENTA - trophoblastic cells,100,1.1,1.1,HEART MUSCLE - myocytes,0,1.1,1.1
IMMUNE SYSTEM b cells memory,5.775,5,2.833333333,LYMPH NODE - non-germinal center cells,57.75,0.005997001,0.443778111,LYMPH NODE - non-germinal center cells,57.75,0.005997001,0.443778111
HEART MUSCLE purkinje fiber cells,5.775,5,3,CAUDATE - neuronal cells,57.75,0.099450275,1,HEART MUSCLE - myocytes,0,1,1
LUNG airway epithelial cells,5.36,4,3,ESOPHAGUS - squamous epithelial cells,67,0.033983008,1,LUNG - pneumocytes,41.25,1,1
BRAIN cholinergic neurons,4.69,7,3,SMALL INTESTINE - glandular cells,33.5,0.104447776,1,CEREBRAL CORTEX - neuronal cells,24.75,1,1
BRAIN motor neurons,4.42,13,5.166666667,COLON - peripheral nerve/ganglion,17,1,1,CAUDATE - glial cells,0,1,1
BRAIN glycinergic neurons,4,2,0,RETINA - nerve fibers in inner plexiform layer,100,0.204897551,1,CEREBRAL CORTEX - neuropil,50,0.116941529,1
SMOOTH MUSCLE pulmonary vascular smooth muscle cells,4,2,0,SKIN - fibroblasts,100,1,1,SMOOTH MUSCLE - smooth muscle cells,0,1,1
EMBRYO trophoblast progenitor cells,3,3,2,PLACENTA - trophoblastic cells,50,0.060969515,1,tissue not found,NA,NA,NA
CONNECTIVE TISSUE erythroid-like and erythroid precursor cells,2,1,0,KIDNEY - cells in tubules,100,1.1,1.1,SOFT TISSUE - chondrocytes,100,1.1,1.1
VASCULATURE oligodendrocyte progenitor cells,2,1,0,CAUDATE - glial cells,100,0.052973513,1,tissue not found,NA,NA,NA
IMMUNE SYSTEM schwann cells,2,1,0,CAUDATE - glial cells,100,0.053973013,1,BONE MARROW - hematopoietic cells,0,1,1
EMBRYO trophoblast stem cells,2,1,0,SKIN - keratinocytes,100,1.1,1.1,tissue not found,NA,1.1,1.1
