cell_type,conf_score,proteins_used,top_10_avg_prot_tested,top_result,top_enrich,top_pval,top_adj_pval,top_tiss_result,top_tiss_enrich,top_tiss_pval,top_tiss_adj_pval,,,15 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,20 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval,,,25 percentile,top_pval,top_adj_pval,top_tiss_pval,top_tiss_adj_pval
SKIN melanocytes,47.8,40,21.5,SKIN - melanocytes,59.75,0.00049975,0.046476762,SKIN - melanocytes,59.75,0.00049975,0.046476762,,,,0.00049975,0.046476762,0.00049975,0.046476762,,,,0.00049975,0.046476762,0.00049975,0.046476762,,,,0.00049975,0.046476762,0.00049975,0.046476762
BRAIN meningeal cells,8.1,18,10,BRONCHUS - respiratory epithelial cells,22.5,1,1,CEREBRAL CORTEX - endothelial cells,22.5,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,1,1,0.368815592,1
SKIN merkel cells,23.2,16,9,SMALL INTESTINE - glandular cells,72.5,0.099950025,1,SKIN - epidermal cells,22,1,1,,,,0.099950025,1,1,1,,,,0.025487256,1,1,1,,,,0.034482759,1,0.377811094,1
KIDNEY mesangial cells,33.75,57,24,KIDNEY - cells in glomeruli,33.75,0.00049975,0.037981009,KIDNEY - cells in glomeruli,33.75,0.00049975,0.037981009,,,,0.00049975,0.037981009,0.00049975,0.037981009,,,,0.00049975,0.037981009,0.00049975,0.037981009,,,,0.00049975,0.037981009,0.00049975,0.037981009
EPITHELIUM mesothelial cells,40.5,52,23.16666667,FALLOPIAN TUBE - glandular cells,40.5,0.020989505,1,tissue not found,NA,NA,NA,,,,0.020989505,1,NA,NA,,,,0.029985007,1,NA,NA,,,,0.007496252,0.547226387,NA,NA
GI TRACT microfold cells,30.15,30,19,GALLBLADDER - glandular cells,50.25,0.124437781,1,DUODENUM - glandular cells,34.25,1,1,,,,0.124437781,1,1,1,,,,0.262368816,1,1,1,,,,0.626186907,1,0.634682659,1
BRAIN microglia,51,71,34,BONE MARROW - hematopoietic cells,51,0.00049975,0.036981509,CEREBRAL CORTEX - neuronal cells,14.25,0.612693653,1,,,,0.00049975,0.036981509,0.612693653,1,,,,0.00049975,0.036981509,0.395802099,1,,,,0.00049975,0.036981509,0.354822589,1
IMMUNE SYSTEM monocytes,60.25,99,55,BONE MARROW - hematopoietic cells,60.25,0.00049975,0.036981509,BONE MARROW - hematopoietic cells,60.25,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
BRAIN motor neurons,4.42,13,5.166666667,COLON - peripheral nerve/ganglion,17,1,1,CAUDATE - glial cells,0,1,1,,,,1,1,1,1,,,,1,1,1,1,,,,1,1,1,1
EYE mã¼ller cells,27.5,50,28,STOMACH - glandular cells,27.5,0.402298851,1,RETINA - cells in inner nuclear layer ,6,0.070964518,1,,,,0.402298851,1,0.070964518,1,,,,1,1,0.110444778,1,,,,0.146426787,1,0.100949525,1
IMMUNE SYSTEM myeloid-derived suppressor cells,21,15,10,BONE MARROW - hematopoietic cells,70,0.002998501,0.221889055,BONE MARROW - hematopoietic cells,70,0.002998501,0.221889055,,,,0.002998501,0.221889055,0.002998501,0.221889055,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
SKELETAL MUSCLE myoblasts,39.6,33,9.833333333,SKELETAL MUSCLE - myocytes,60,0.00049975,0.036981509,SKELETAL MUSCLE - myocytes,60,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509,,,,0.00049975,0.036981509,0.00049975,0.036981509
